,"bond_code,apply_date,apply_code,player_code,amount_per_stock,plan_amount_100million,actual_amount_100million,result_date,open_date,stock_code,conver_price,winning_rate,end_date",open_price
0,"110059,2019/10/28,733000,704000,1.703,500,500,2019/10/30,2019/11/27,600000,15.05,0.302,2025/10/27",
1,"110060,2019/10/28,733326,704326,1.256,10.87,10.87,2019/10/30,2019/11/27,600326,7.24,0.019,2025/10/27",
2,"113545,2019/10/14,754113,753113,2.219,15,15,2019/10/16,2019/11/13,603113,11.55,0.035,2025/10/13",
3,"113546,2019/10/23,754320,753320,2.299,2.3,2.3,2019/10/25,2019/11/22,603320,18.45,0.015,2025/10/22",
4,"113547,2019/10/24,754612,753612,2.804,9.45,9.45,2019/10/28,2019/11/23,603612,10.67,0.023,2025/10/23",
5,"113548,2019/10/28,754688,753688,1.078,3.6,3.6,2019/10/30,2019/11/27,603688,15.25,0.018,2025/10/27",
6,"123033,2019/11/1,370748,380748,1.0521,4.35,-,2019/11/5,2019/12/1,300748,41.2,-,2025/10/31",
7,"123034,2019/11/4,370265,380265,0.88,2.97,-,2019/11/6,2019/12/4,300265,7.98,-,2025/11/3",
8,"127014,2019/10/24,70065,80065,0.7514,5.78,5.78,2019/10/28,2019/11/23,65,8.84,0.024,2025/10/23",
9,"128076,2019/10/14,72722,82722,1.2196,2.14,2.14,2019/10/16,2019/11/13,2722,14.96,0.016,2025/10/14",
10,"128077,2019/10/16,72928,82928,1.315,7.9,7.9,2019/10/18,2019/11/15,2928,10.52,0.02,2025/10/16",
11,"128078,2019/10/21,72368,82368,2.4226,10,10,2019/10/23,2019/11/20,2368,31.61,0.043,2025/10/21",
12,"128079,2019/10/21,72846,82846,1.1,2.14,2.14,2019/10/23,2019/11/20,2846,13.54,0.015,2025/10/21",
13,"123032,2019/10/11,370591,380591,0.5778,1.8,1.8,2019/10/15,2019/10/31,300591,6.92,0.025,2025/10/10",
14,"128075,2019/9/23,72406,82406,1.593,8.94,8.94,2019/9/25,2019/10/31,2406,5.79,0.016,2025/9/23",
15,"128074,2019/9/23,72174,82174,1.2943,11.5,11.5,2019/9/25,2019/10/21,2174,17.06,0.093,2025/9/23",
16,"113544,2019/9/20,754866,753866,1.517,10,10,2019/9/24,2019/10/15,603866,47.54,0.031,2025/9/19",
17,"123031,2019/8/29,370655,380655,1.2217,1.85,1.85,2019/9/2,2019/9/26,300655,18.38,0.045,2025/8/28",
18,"128071,2019/8/16,72228,82228,0.5093,5.96,5.96,2019/8/20,2019/9/16,2228,4.38,0.086,2025/8/16",
19,"128072,2019/8/20,72842,82842,1.0994,3.02,3.02,2019/8/22,2019/9/16,2842,15.36,0.031,2025/8/19",
20,"123030,2019/8/20,370040,380040,0.8978,3.08,3.08,2019/8/22,2019/9/12,300040,5.7,0.041,2025/8/19",
21,"128073,2019/8/22,72615,82615,0.7309,3,3,2019/8/26,2019/9/11,2615,5.8,0.038,2024/8/22",
22,"123029,2019/8/16,370677,380677,2.3687,4.7,4.7,2019/8/20,2019/9/10,300677,16.25,0.04,2025/8/15",
23,"113543,2019/8/16,754833,753833,3.557,14.95,14.95,2019/8/20,2019/9/4,603833,101.46,0.056,2025/8/15",
24,"113542,2019/8/1,754898,753898,2.034,6.3,6.3,2019/8/5,2019/8/23,603898,16.62,0.056,2025/7/31",
25,"113541,2019/7/23,754165,753165,1.86,3.3,3.3,2019/7/25,2019/8/13,603165,18.72,0.063,2025/7/22",
26,"113540,2019/7/15,754636,753636,1.253,6.6,6.6,2019/7/17,2019/8/5,603636,10.13,0.064,2025/7/14",
27,"113539,2019/7/3,754079,753079,2.67,2.99,2.99,2019/7/5,2019/7/26,603079,28.78,0.031,2025/7/2",
28,"128070,2019/7/2,72877,82877,0.6917,2.3,2.3,2019/7/4,2019/7/23,2877,9.55,0.025,2025/7/2",
29,"113538,2019/6/28,754658,753658,1.626,6.83,6.83,2019/7/2,2019/7/22,603658,64.11,0.035,2025/6/27",
30,"123028,2019/6/19,370437,380437,2.2443,4.9,4.9,2019/6/21,2019/7/15,300437,11.95,0.086,2025/6/18",
31,"128069,2019/6/24,72907,82907,0.7498,3,3,2019/6/26,2019/7/11,2907,18.08,0.019,2025/6/24",
32,"113027,2019/6/14,783020,764020,1.216,6.4,6.4,2019/6/18,2019/7/10,601020,10.17,0.072,2025/6/13",
33,"113028,2019/6/18,783200,764200,2.375,21.7,21.7,2019/6/20,2019/7/8,601200,10.44,0.031,2025/6/17",
34,"113537,2019/6/10,754348,753348,3.636,8,8,2019/6/12,2019/7/5,603348,19.93,0.103,2025/6/9",
35,"123027,2019/6/11,370487,380487,1.6461,3.4,3.4,2019/6/13,2019/7/4,300487,29.58,0.022,2025/6/10",
36,"123026,2019/6/10,370692,380692,1.8124,2.9,2.9,2019/6/12,2019/7/1,300692,12.31,0.054,2024/6/9",
37,"128068,2019/6/4,72402,82402,0.6394,5.47,5.47,2019/6/6,2019/7/1,2402,9.09,0.083,2025/6/4",
38,"113536,2019/5/31,754578,753578,2.139,1.92,1.92,2019/6/4,2019/6/24,603578,19.75,0.03,2025/5/30",
39,"113535,2019/5/9,754278,753278,1.743,5,5,2019/5/13,2019/6/3,603278,12.56,0.035,2024/5/8",
40,"128067,2019/4/19,72727,82727,1.0614,6.03,6.03,2019/4/23,2019/5/17,2727,27.28,0.009,2025/4/19",
41,"127013,2019/4/15,70810,80810,0.9821,10.4,10.4,2019/4/17,2019/5/16,810,11.49,0.026,2025/4/15",
42,"128066,2019/4/17,72811,82811,2.6666,4.8,4.8,2019/4/19,2019/5/14,2811,14.8,0.009,2025/4/17",
43,"128065,2019/4/16,72497,82497,0.8443,8,8,2019/4/18,2019/5/10,2497,8.96,0.063,2025/4/16",
44,"110058,2019/4/16,733105,704105,0.782,9.8,9.8,2019/4/18,2019/5/8,600105,6.35,0.014,2025/4/15",
45,"113026,2019/4/15,783985,764985,0.501,78,78,2019/4/17,2019/5/8,601985,6.2,0.031,2025/4/14",
46,"113025,2019/4/10,783677,764677,3.117,18.39,18.39,2019/4/12,2019/5/7,601677,11.3,0.03,2025/4/9",
47,"128064,2019/4/8,72538,82538,1.114,8,8,2019/4/10,2019/5/7,2538,6.15,0.02,2025/4/8",
48,"110057,2019/4/1,733420,704420,1.529,16.16,16.16,2019/4/3,2019/4/30,600420,9.99,0.036,2025/3/31",
49,"113534,2019/4/9,754876,753876,2.916,12.54,12.54,2019/4/11,2019/4/30,603876,15.28,0.021,2025/4/8",
50,"127012,2019/3/22,71965,81965,0.8092,50,50,2019/3/26,2019/4/30,1965,9.09,0.07,2025/3/21",
51,"113024,2019/4/8,783611,764611,1.141,29.96,29.96,2019/4/10,2019/4/26,601611,9.87,0.02,2025/4/7",
52,"113532,2019/4/2,754817,753817,1.022,4.6,4.6,2019/4/4,2019/4/24,603817,7.75,0.017,2025/4/1",
53,"113533,2019/4/3,754233,753233,2.499,10,10,2019/4/8,2019/4/24,603233,36.5,0.055,2025/4/2",
54,"128061,2019/3/27,72439,82439,1.1682,10.45,10.45,2019/3/29,2019/4/24,2439,28.29,0.014,2025/3/27",
55,"128062,2019/4/2,72370,82370,1.7987,9.65,9.65,2019/4/4,2019/4/24,2370,16.25,0.029,2025/4/2",
56,"128063,2019/4/3,72631,82631,0.9433,6.3,6.3,2019/4/8,2019/4/24,2631,8.67,0.015,2025/4/3",
57,"113531,2019/3/29,754883,753883,1.147,3.27,3.27,2019/4/2,2019/4/22,603883,60.09,0.033,2024/3/28",
58,"123025,2019/3/29,370567,380567,2.2919,3.75,3.75,2019/4/2,2019/4/19,300567,50.25,0.021,2025/3/29",
59,"113530,2019/3/27,754081,753081,1.567,6.3,6.3,2019/3/29,2019/4/18,603081,16.76,0.021,2025/3/26",
60,"123024,2019/3/21,370700,380700,2.5485,2.1,2.1,2019/3/25,2019/4/17,300700,24.9,0.016,2024/3/21",
61,"110056,2019/3/19,733487,704487,0.91,17.33,17.33,2019/3/21,2019/4/16,600487,21.64,0.018,2025/3/18",
62,"123023,2019/3/20,370335,380335,1.6532,6,6,2019/3/22,2019/4/16,300335,7.19,0.022,2025/3/20",
63,"128060,2019/3/26,72822,82822,0.875,5.25,5.25,2019/3/28,2019/4/15,2822,6.19,0.051,2025/3/26",
64,"110054,2019/3/18,733438,704438,1.287,50,50,2019/3/20,2019/4/10,600438,12.28,0.011,2025/3/17",
65,"123022,2019/3/18,370088,380088,0.535,12.3,12.3,2019/3/20,2019/4/10,300088,6.25,0.011,2025/3/18",
66,"128058,2019/3/7,72139,82139,0.5651,5.73,5.73,2019/3/11,2019/4/8,2139,5.54,0.062,2025/3/7",
67,"110055,2019/3/15,733197,704197,1.986,8.76,8.76,2019/3/19,2019/4/4,600197,17.25,0.018,2025/3/14",
68,"127011,2019/3/8,70887,80887,0.9829,12,12,2019/3/12,2019/4/4,887,11.79,0.008,2025/3/8",
69,"110053,2019/3/14,733919,704919,1.732,200,200,2019/3/18,2019/4/3,600919,7.56,0.039,2025/3/13",
70,"128055,2019/2/27,72391,82391,2.5419,9.14,9.14,2019/3/1,2019/4/3,2391,7.41,0.027,2025/2/27",
71,"113529,2019/3/11,754517,753517,2.439,10,10,2019/3/13,2019/4/2,603517,28.51,0.006,2025/3/10",
72,"128057,2019/3/5,72649,82649,1.0957,5.76,5.76,2019/3/7,2019/4/2,2649,8.81,0.051,2025/3/5",
73,"128059,2019/3/11,72841,82841,1.436,9.42,9.42,2019/3/13,2019/4/2,2841,75.72,0.02,2025/3/11",
74,"110052,2019/3/5,733996,704996,1.534,16,16,2019/3/7,2019/3/29,600996,8.04,0.012,2025/3/4",
75,"123020,2019/3/1,370497,380497,1.8709,4.2,4.2,2019/3/5,2019/3/29,300497,14.93,0.041,2025/3/1",
76,"113022,2019/3/12,783878,764878,1.049,35,35,2019/3/14,2019/3/28,601878,12.46,0.017,2025/3/11",
77,"123021,2019/3/4,370168,380168,1.094,12,12,2019/3/6,2019/3/25,300168,13.6,0.017,2025/3/3",
78,"110051,2019/2/28,733522,704522,1.293,39.65,39.65,2019/3/4,2019/3/22,600522,10.19,0.02,2025/2/27",
79,"123019,2019/2/25,370393,380393,4.1494,10,10,2019/2/27,2019/3/22,300393,13.29,0.061,2025/2/25",
80,"128056,2019/2/28,72863,82863,0.9772,3.68,3.68,2019/3/4,2019/3/22,2863,6.78,0.082,2025/2/28",
81,"113528,2019/3/1,754897,753897,3.553,6.34,6.34,2019/3/5,2019/3/20,603897,24.03,0.038,2025/2/28",
82,"113021,2019/3/4,783998,764998,1.174,400,400,2019/3/6,2019/3/19,601998,7.22,0.018,2025/3/3",
83,"128054,2019/2/15,72891,82891,1.9424,1.94,1.94,2019/2/19,2019/3/14,2891,22.28,0.128,2025/2/15",
84,"128053,2019/2/14,72551,82551,1.0624,7.5,7.5,2019/2/18,2019/3/7,2551,4.89,0.52,2025/2/14",
85,"127009,2019/1/14,70811,80811,0.7796,5.09,5.09,2019/1/16,2019/2/21,811,5.47,0.141,2025/1/14",
86,"113527,2019/1/24,754518,753518,4.131,7.46,7.46,2019/1/28,2019/2/19,603518,10.52,0.395,2025/1/23",
87,"113526,2019/1/23,754797,753797,1.828,3.9,3.9,2019/1/25,2019/2/18,603797,8.72,0.146,2025/1/22",
88,"127010,2019/1/21,70001,80001,1.5142,260,260,2019/1/23,2019/2/18,1,11.63,0.045,2025/1/21",
89,"123018,2018/12/20,370381,380381,1.6348,6.65,6.65,2018/12/24,2019/1/23,300381,8.35,2.348,2024/12/20",
90,"110050,2018/12/19,733728,704728,0.54,8.75,8.75,2018/12/21,2019/1/21,600728,7.89,2.35,2024/12/18",
91,"128052,2018/12/21,72783,82783,0.9849,3.29,3.29,2018/12/25,2019/1/21,2783,6.77,1.442,2024/12/21",
92,"110049,2018/12/18,733690,704690,0.493,30.07,30.07,2018/12/20,2019/1/18,600690,14.2,0.039,2024/12/17",
93,"113525,2018/12/17,754055,753055,0.973,5.33,5.33,2018/12/19,2019/1/11,603055,8.11,0.421,2024/12/16",
94,"128051,2018/12/14,72741,82741,0.6661,2.49,2.49,2018/12/18,2019/1/9,2741,12.72,0.437,2024/12/14",
95,"113524,2018/12/14,754677,753677,1.682,3.3,3.3,2018/12/18,2019/1/7,603677,14.56,0.574,2024/12/13",
96,"110048,2018/12/7,733483,704483,1.823,28.3,28.3,2018/12/11,2018/12/28,600483,8.48,0.196,2024/12/6",
97,"128050,2018/12/10,72865,82865,2.6298,3.2,3.2,2018/12/12,2018/12/27,2865,21.66,0.856,2024/12/10",
98,"113523,2018/12/10,754568,753568,0.974,6.7,6.7,2018/12/12,2018/12/26,603568,17.47,0.348,2024/12/9",
99,"127008,2018/11/16,70070,80070,0.6689,4.19,4.19,2018/11/20,2018/12/25,70,5.61,0.168,2023/11/16",
100,"123017,2018/11/20,370618,380618,2.2916,4.4,4.4,2018/11/22,2018/12/24,300618,57.49,0.372,2024/11/20",
101,"128049,2018/11/27,72787,82787,1.3052,4,4,2018/11/29,2018/12/20,2787,7.52,0.952,2024/11/27",
102,"110046,2018/11/20,733233,704233,1.289,36.5,36.5,2018/11/22,2018/12/18,600233,10.73,0.208,2024/11/19",
103,"113020,2018/11/19,783233,764233,2.085,38,38,2018/11/21,2018/12/12,601233,12.51,0.192,2024/11/18",
104,"113522,2018/11/22,754305,753305,1.048,4.2,4.2,2018/11/26,2018/12/11,603305,29.6,0.318,2024/11/21",
105,"110047,2018/11/21,733567,704567,0.503,23,23,2018/11/23,2018/12/10,600567,3.34,0.497,2024/11/20",
106,"113521,2018/11/16,754626,753626,1.467,6.1,6.1,2018/11/20,2018/12/7,603626,8.7,0.329,2024/11/15",
107,"128047,2018/11/5,72179,82179,1.6436,13,13,2018/11/7,2018/12/7,2179,30.87,0.072,2024/11/5",
108,"123016,2018/11/7,370232,380232,0.7199,5.48,5.48,2018/11/9,2018/12/3,300232,7.82,0.306,2024/11/7",
109,"113519,2018/11/7,754569,753569,1.249,7,7,2018/11/9,2018/11/30,603569,11.85,0.413,2024/11/6",
110,"128048,2018/11/12,72839,82839,1.3831,25,25,2018/11/14,2018/11/29,2839,5.91,0.357,2024/11/12",
111,"113520,2018/11/8,754313,753313,2.125,5.1,5.1,2018/11/12,2018/11/26,603313,14.28,0.227,2024/11/7",
112,"128046,2018/10/17,72258,82258,1.6247,8.52,8.52,2018/10/19,2018/11/9,2258,18.62,0.184,2024/10/17",
113,"113518,2018/9/12,754816,753816,2.564,10.97,10.97,2018/9/14,2018/10/9,603816,36.57,1.248,2024/9/11",
114,"128045,2018/8/27,72013,82013,0.5819,21,21,2018/8/29,2018/9/14,2013,7.63,0.119,2024/8/27",
115,"123015,2018/8/13,370297,380297,0.4578,5.38,5.38,2018/8/15,2018/9/13,300297,5.79,1.272,2024/8/13",
116,"128044,2018/8/14,72717,82717,0.6542,6.6,6.6,2018/8/16,2018/9/4,2717,5.92,0.872,2024/8/14",
117,"128042,2018/7/30,72823,82823,1.4274,4.16,4.16,2018/8/1,2018/9/3,2823,12.99,0.198,2024/7/30",
118,"123012,2018/7/20,370057,380057,2.1607,9.5,9.5,2018/7/24,2018/8/29,300057,5.36,1.725,2024/7/20",
119,"113515,2018/7/26,754588,753588,1.268,8.4,8.4,2018/7/30,2018/8/27,603588,9.33,0.337,2024/7/25",
120,"128043,2018/8/2,72793,82793,1.4066,2.81,2.81,2018/8/6,2018/8/27,2793,11.13,0.213,2024/8/2",
121,"113517,2018/8/6,754019,753019,1.741,11.2,11.2,2018/8/8,2018/8/23,603019,36.53,1.932,2024/8/6",
122,"123014,2018/7/27,370407,380407,1.2659,3.5,3.5,2018/7/31,2018/8/21,300407,8.14,0.454,2023/7/27",
123,"113516,2018/8/2,754323,753323,1.726,25,25,2018/8/6,2018/8/20,603323,5.67,0.509,2024/8/1",
124,"123013,2018/7/26,370539,380539,0.6698,1.4,1.4,2018/7/30,2018/8/20,300539,9.22,0.15,2024/7/26",
125,"123010,2018/7/5,370422,380422,1.2084,4.3,4.3,2018/7/9,2018/8/14,300422,12.38,0.361,2024/7/5",
126,"123011,2018/7/18,370473,380473,5.3822,5.65,5.65,2018/7/19,2018/8/14,300473,34.66,0.325,2024/7/18",
127,"128041,2018/7/17,72446,82446,1.3121,10,10,2018/7/19,2018/8/14,2446,6.85,0.609,2024/7/16",
128,"113514,2018/7/20,754023,753023,0.555,2,2,2018/7/24,2018/8/13,603023,4.85,0.283,2023/7/19",
129,"127007,2018/6/28,70665,80665,2.7248,17.34,17.34,2018/7/2,2018/8/1,665,7.92,1.013,2024/6/28",
130,"110045,2018/7/13,733398,704398,0.667,30,30,2018/7/17,2018/7/31,600398,12.02,1.02,2024/7/12",
131,"113513,2018/7/12,754345,753345,2.314,5,5,2018/7/16,2018/7/31,603345,35.08,0.115,2024/7/11",
132,"110044,2018/6/27,733831,704831,1.322,8,8,2018/6/29,2018/7/24,600831,6.9,0.414,2024/6/26",
133,"113512,2018/7/6,754228,753228,2.397,9.78,9.78,2018/7/10,2018/7/24,603228,49.85,0.23,2024/7/5",
134,"113510,2018/6/19,754601,753601,0.21,1.14,1.14,2018/6/21,2018/7/13,603601,8.59,0.063,2024/6/18",
135,"128040,2018/6/14,72758,82758,1.0666,2.24,2.24,2018/6/19,2018/7/13,2758,11.37,0.043,2024/6/13",
136,"113511,2018/6/20,754027,753027,1.092,3.56,3.56,2018/6/22,2018/7/10,603027,18.31,0.143,2024/6/19",
137,"128039,2018/6/8,72224,82224,0.9421,6.2,6.2,2018/6/12,2018/6/29,2224,5.83,0.133,2024/6/7",
138,"113509,2018/6/4,754179,753179,1.98,4.5,4.5,2018/6/6,2018/6/22,603179,18.89,0.031,2024/6/3",
139,"113508,2018/4/26,754225,753225,2.554,21.53,21.53,2018/5/2,2018/5/16,603225,16.83,0.234,2024/4/25",
140,"113506,2018/4/16,754421,753421,1.354,6,6,2018/4/18,2018/5/14,603421,21.65,0.072,2024/4/15",
141,"127006,2018/3/13,70623,80623,2.0752,24.13,24.13,2018/3/15,2018/5/11,623,21.12,0.124,2024/3/13",
142,"113507,2018/4/17,754668,753668,1.027,3.05,3.05,2018/4/19,2018/5/7,603668,7.37,0.03,2024/4/16",
143,"128037,2018/3/15,72542,82542,0.3333,6.04,6.04,2018/3/19,2018/4/25,2542,8.05,0.09,2024/3/15",
144,"128038,2018/3/22,72131,82131,0.3932,21.98,21.98,2018/3/26,2018/4/19,2131,2.76,0.27,2024/3/22",
145,"127005,2018/3/12,70783,80783,0.9042,50,50,2018/3/14,2018/4/11,783,7.6,0.124,2024/3/11",
146,"123009,2018/3/7,370568,380568,2.5,4.8,4.8,2018/3/9,2018/4/10,300568,27.99,0.041,2024/3/7",
147,"128036,2018/3/9,72548,82548,1.7081,6.5,6.5,2018/3/13,2018/4/2,2548,9.72,0.05,2024/3/9",
148,"113505,2018/3/6,754618,753618,1.135,7.8,7.8,2018/3/8,2018/3/27,603618,7.29,0.084,2024/3/5",
149,"113504,2018/3/2,754989,753989,2.303,6.91,6.91,2018/3/6,2018/3/23,603989,36.59,0.022,2024/3/1",
150,"113019,2018/3/1,783966,764966,1.666,20,20,2018/3/5,2018/3/22,601966,19.1,0.212,2023/2/28",
151,"123008,2018/2/1,370601,380601,0.8453,3.56,3.56,2018/2/5,2018/3/19,300601,47.01,0.026,2024/2/1",
152,"110043,2018/1/30,733908,704908,1.623,30,30,2018/2/1,2018/3/14,600908,8.9,0.188,2024/1/30",
153,"128035,2018/2/6,72008,82008,2.1554,23,23,2018/2/8,2018/3/5,2008,52.7,0.196,2024/2/6",
154,"128034,2018/1/26,72807,82807,1.1316,20,20,2018/1/30,2018/2/14,2807,7.02,0.139,2024/1/26",
155,"113018,2018/1/19,783128,764128,1.349,30,30,2018/1/23,2018/2/6,601128,7.61,0.192,2024/1/19",
156,"123005,2017/12/19,370168,380168,0.8728,9,9,2017/12/21,2018/1/30,300168,13.11,0.081,2023/12/19",
157,"123006,2017/12/20,370059,380059,1.0842,46.5,46.5,2017/12/22,2018/1/29,300059,13.69,0.404,2023/12/20",
158,"128030,2017/12/22,72100,82100,1.038,10,10,2017/12/26,2018/1/29,2100,8.15,0.062,2023/12/22",
159,"128033,2017/12/27,72658,82658,0.8596,5.2,5.2,2017/12/29,2018/1/29,2658,13.35,0.039,2023/12/27",
160,"123004,2017/12/18,370197,380197,0.7238,11,11,2017/12/20,2018/1/26,300197,12.39,0.059,2023/12/18",
161,"123007,2017/12/28,370409,380409,2.2325,4.8,4.8,2018/1/2,2018/1/26,300409,15.2,0.072,2023/12/28",
162,"128032,2017/12/25,72472,82472,1.4626,10,10,2017/12/27,2018/1/25,2472,10.07,0.082,2023/12/25",
163,"128027,2017/12/15,72815,82815,1.9512,8,8,2017/12/19,2018/1/22,2815,30.93,0.019,2023/12/15",
164,"128028,2017/12/21,72460,82460,1.2731,9.28,9.28,2017/12/25,2018/1/19,2460,71.89,0.061,2023/12/21",
165,"123003,2017/12/8,370433,380433,1.8335,48,48,2017/12/12,2018/1/17,300433,36.59,0.33,2023/12/8",
166,"128029,2017/12/22,72078,82078,0.4628,12,12,2017/12/26,2018/1/16,2078,8.85,0.043,2022/12/22",
167,"110042,2017/12/25,733372,704372,1.364,24,24,2017/12/27,2018/1/15,600372,14.29,0.197,2023/12/24",
168,"113017,2017/12/27,783929,764929,0.501,15.6,15.6,2017/12/29,2018/1/15,601929,2.98,0.4,2023/12/26",
169,"128024,2017/12/5,72142,82142,1.9724,100,100,2017/12/7,2018/1/12,2142,18.45,0.052,2023/12/5",
170,"110041,2017/12/22,733863,704863,0.322,18.75,18.75,2017/12/25,2018/1/9,600863,2.95,0.267,2023/12/21",
171,"128026,2017/12/13,72772,82772,2.4643,9.2,9.2,2017/12/15,2018/1/3,2772,11.74,0.056,2023/12/13",
172,"113503,2017/12/15,754738,753738,1.896,2.15,2.15,2017/12/19,2018/1/2,603738,25.41,0.009,2023/12/14",
173,"128022,2017/12/1,72707,82707,0.8359,7,7,2017/12/5,2017/12/28,2707,11.12,0.003,2023/12/1",
174,"128025,2017/12/6,72728,82728,1.77,3.54,3.54,2017/12/8,2017/12/28,2728,19.7,0.005,2023/12/6",
175,"128021,2017/11/28,72562,82562,1.2929,7,7,2017/11/30,2017/12/27,2562,18.17,0.001,2023/11/28",
176,"128023,2017/12/4,72284,82284,1.3558,10,10,2017/12/6,2017/12/26,2284,10.44,0.025,2023/12/4",
177,"123002,2017/11/24,370388,380388,1.953,5.97,5.97,2017/11/28,2017/12/25,300388,21.04,0.004,2023/11/24",
178,"128020,2017/11/17,72273,82273,1.78,11.8,11.8,2017/11/21,2017/12/12,2273,29.87,0.004,2023/11/16",
179,"110040,2017/11/24,733183,704183,1.236,18,18,2017/11/28,2017/12/11,600183,17.34,0.006,2023/11/23",
180,"110039,2017/11/17,733845,704845,2.885,16,16,2017/11/21,2017/12/5,600845,18.19,0.008,2023/11/16",
181,"128018,2017/11/6,72527,82527,1.423,8.83,8.83,2017/11/8,2017/12/4,2527,11.9,0.004,2023/11/6",
182,"128019,2017/11/8,72318,82318,1.2358,10.4,10.4,2017/11/10,2017/12/1,2318,8.37,0.005,2023/11/8",
183,"110038,2017/11/13,733566,704566,1.041,8.43,8.43,2017/11/15,2017/11/29,600566,41.04,0.011,2022/11/12",
184,"113502,2017/11/10,754822,753822,2.522,1.85,1.85,2017/11/14,2017/11/27,603822,45.48,0.001,2023/11/9",
185,"128017,2017/11/1,72597,82597,1.0633,6,6,2017/11/3,2017/11/27,2597,23.92,0.001,2023/11/1",
186,"113016,2017/11/6,783127,764127,1.649,15,15,2017/11/8,2017/11/21,601127,23,0.003,2023/11/5",
187,"113015,2017/11/2,783012,764012,1.402,28,28,2017/11/6,2017/11/20,601012,32.35,0.009,2023/11/1",
188,"113014,2017/10/27,783222,764222,1.7,30,30,2017/10/31,2017/11/13,601222,8.8,0.003,2023/10/26",
189,"128016,2017/9/25,72271,82271,2.0865,18.4,18.4,2017/9/27,2017/10/20,2271,38.48,0.001,2023/9/25",
190,"113013,2017/7/7,783211,764211,0.931,70,70,2017/7/13,2017/7/24,601211,20.2,0.081,2023/7/6",
191,"128015,2017/6/8,72279,82279,1.1084,7.8,7.8,2017/6/14,2017/6/27,2279,12.97,2.381,2023/6/7",
192,"127004,2017/6/2,70700,80700,1.1344,8.14,8.14,2017/6/8,2017/6/26,700,8,0.509,2023/6/1",
193,"128014,2017/4/17,72753,82753,2.2965,3.4,3.4,2017/4/21,2017/5/12,2753,30.77,1.323,2023/4/16",
194,"113012,2017/3/24,783311,764311,0.845,7.17,7.17,2017/3/30,2017/4/13,601311,16.78,0.158,2023/3/23",
195,"113011,2017/3/17,783818,764818,0.753,300,300,2017/3/23,2017/4/5,601818,4.31,0.5,2023/3/16",
